Features;ItemSets;Clusters
15.6  wled-backlit high-definition display;[display, wled-backlit high-definition display];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [17.3  wled-backlit high-definition touch-screen display, 15.6  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 15.6  wled-backlit high-definition display], [15.6  high-definition display, 17.3  wled-backlit high-definition display, 15.6  wled-backlit high-definition display, 17.3  high-definition display]
17.3  wled-backlit high-definition display;[display, wled-backlit high-definition display];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [17.3  wled-backlit high-definition touch-screen display, 15.6  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 15.6  wled-backlit high-definition display], [15.6  high-definition display, 17.3  wled-backlit high-definition display, 15.6  wled-backlit high-definition display, 17.3  high-definition display]
1.7 ghz processor speed;[ghz, processor, speed, ghz processor speed];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1.7 ghz processor speed, 1.9 ghz processor speed, 2.0 ghz processor speed]
8gb system memory;[system, memory, system memory, 8gb system memory];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [8gb system memory]
serial ata hard drive 5400 ;[drive, serial ata hard drive];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [serial ata hard drive 5400 ]
3 superspeed usb 3.0 ;[usb, superspeed usb];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [3 superspeed usb 3.0 ]
hd graphics 4400 ;[hd, graphics, hd graphics];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [intel hd graphics 4400 , hd graphics 4400 ]
1000 gigabit ethernet lan;[ethernet, lan, ethernet lan, gigabit ethernet lan];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1000 gigabit ethernet lan]
750gb serial ata hard drive;[ata, drive, 750gb serial ata hard drive];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [750gb serial ata hard drive, 500gb serial ata hard drive]
8210 integrated graphics;[graphics, integrated graphics];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [8210 integrated graphics]
15.6  wled-backlit high-definition touch-screen display;[display, wled-backlit high-definition touch-screen display];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [17.3  wled-backlit high-definition touch-screen display, 15.6  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 15.6  wled-backlit high-definition display]
1tb hard drive;[drive, 1tb hard drive];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1tb hard drive, 500gb hard drive, 750gb hard drive]
